timestamp, power.draw [W], utilization.gpu [%]
2026/02/12 17:13:27.975, 10.35 W, 0 %
2026/02/12 17:13:28.975, 10.70 W, 0 %
2026/02/12 17:13:29.975, 11.03 W, 0 %
2026/02/12 17:13:30.975, 10.57 W, 0 %
2026/02/12 17:13:31.976, 10.30 W, 0 %
2026/02/12 17:13:32.976, 10.55 W, 0 %
2026/02/12 17:13:33.976, 10.77 W, 0 %
2026/02/12 17:13:34.976, 10.69 W, 0 %
2026/02/12 17:13:35.976, 10.56 W, 0 %
2026/02/12 17:13:36.976, 10.93 W, 0 %
2026/02/12 17:13:37.976, 11.18 W, 0 %
2026/02/12 17:13:38.977, 11.13 W, 0 %
2026/02/12 17:13:39.977, 10.97 W, 0 %
2026/02/12 17:13:40.977, 11.22 W, 0 %
2026/02/12 17:13:41.977, 11.45 W, 0 %
2026/02/12 17:13:42.977, 11.25 W, 0 %
2026/02/12 17:13:43.977, 10.98 W, 0 %
2026/02/12 17:13:44.977, 11.25 W, 0 %
2026/02/12 17:13:45.977, 11.48 W, 0 %
2026/02/12 17:13:46.978, 10.99 W, 0 %
2026/02/12 17:13:47.978, 10.25 W, 0 %
2026/02/12 17:13:48.978, 10.16 W, 0 %
2026/02/12 17:13:49.978, 10.08 W, 0 %
2026/02/12 17:13:50.978, 10.37 W, 0 %
2026/02/12 17:13:51.978, 10.60 W, 0 %
2026/02/12 17:13:52.978, 10.80 W, 0 %
2026/02/12 17:13:53.978, 11.31 W, 0 %
2026/02/12 17:13:54.979, 11.28 W, 0 %
2026/02/12 17:13:55.979, 10.61 W, 0 %
2026/02/12 17:13:56.979, 10.08 W, 0 %
2026/02/12 17:13:57.979, 9.63 W, 0 %
2026/02/12 17:13:58.979, 9.68 W, 0 %
2026/02/12 17:13:59.979, 9.94 W, 0 %
2026/02/12 17:14:00.980, 10.81 W, 0 %
2026/02/12 17:14:01.980, 11.25 W, 0 %
2026/02/12 17:14:02.980, 10.45 W, 0 %
2026/02/12 17:14:03.981, 10.62 W, 0 %
2026/02/12 17:14:04.981, 10.51 W, 0 %
2026/02/12 17:14:05.981, 10.06 W, 0 %
2026/02/12 17:14:06.981, 10.16 W, 0 %
2026/02/12 17:14:07.982, 10.40 W, 0 %
2026/02/12 17:14:08.982, 10.64 W, 0 %
2026/02/12 17:14:09.982, 10.47 W, 0 %
2026/02/12 17:14:10.982, 10.74 W, 0 %
2026/02/12 17:14:11.982, 10.72 W, 0 %
2026/02/12 17:14:12.982, 10.56 W, 0 %
2026/02/12 17:14:13.982, 10.97 W, 0 %
2026/02/12 17:14:14.982, 10.84 W, 0 %
