timestamp, power.draw [W], utilization.gpu [%]
2025/12/19 10:30:29.061, 319.20 W, 100 %
2025/12/19 10:30:30.062, 319.17 W, 100 %
2025/12/19 10:30:31.062, 319.10 W, 100 %
2025/12/19 10:30:32.062, 319.26 W, 100 %
2025/12/19 10:30:33.062, 320.00 W, 100 %
2025/12/19 10:30:34.062, 319.26 W, 100 %
2025/12/19 10:30:35.062, 319.47 W, 100 %
2025/12/19 10:30:36.062, 320.26 W, 100 %
2025/12/19 10:30:37.063, 319.39 W, 100 %
2025/12/19 10:30:38.063, 318.73 W, 100 %
2025/12/19 10:30:39.063, 320.39 W, 100 %
2025/12/19 10:30:40.063, 319.71 W, 100 %
2025/12/19 10:30:41.063, 319.29 W, 100 %
2025/12/19 10:30:42.063, 320.20 W, 100 %
2025/12/19 10:30:43.064, 318.69 W, 100 %
2025/12/19 10:30:44.064, 318.35 W, 100 %
2025/12/19 10:30:45.064, 320.19 W, 100 %
2025/12/19 10:30:46.064, 319.02 W, 100 %
2025/12/19 10:30:47.064, 319.35 W, 100 %
2025/12/19 10:30:48.064, 319.45 W, 100 %
2025/12/19 10:30:49.065, 318.56 W, 100 %
2025/12/19 10:30:50.065, 318.89 W, 100 %
2025/12/19 10:30:51.065, 320.87 W, 100 %
2025/12/19 10:30:52.065, 318.83 W, 100 %
2025/12/19 10:30:53.065, 318.68 W, 100 %
2025/12/19 10:30:54.065, 320.11 W, 100 %
2025/12/19 10:30:55.066, 319.44 W, 100 %
2025/12/19 10:30:56.066, 319.31 W, 100 %
2025/12/19 10:30:57.066, 320.86 W, 100 %
2025/12/19 10:30:58.066, 319.69 W, 100 %
2025/12/19 10:30:59.066, 318.51 W, 100 %
2025/12/19 10:31:00.066, 318.83 W, 100 %
2025/12/19 10:31:01.066, 319.70 W, 100 %
2025/12/19 10:31:02.067, 319.26 W, 100 %
2025/12/19 10:31:03.067, 319.51 W, 100 %
2025/12/19 10:31:04.067, 319.86 W, 100 %
2025/12/19 10:31:05.067, 318.78 W, 100 %
2025/12/19 10:31:06.067, 319.53 W, 100 %
2025/12/19 10:31:07.067, 319.01 W, 100 %
2025/12/19 10:31:08.068, 318.92 W, 100 %
2025/12/19 10:31:09.068, 320.27 W, 100 %
2025/12/19 10:31:10.068, 319.44 W, 100 %
2025/12/19 10:31:11.068, 319.00 W, 100 %
2025/12/19 10:31:12.068, 321.07 W, 100 %
2025/12/19 10:31:13.068, 319.07 W, 100 %
2025/12/19 10:31:14.069, 319.18 W, 100 %
2025/12/19 10:31:15.069, 321.37 W, 100 %
2025/12/19 10:31:16.069, 319.16 W, 100 %
2025/12/19 10:31:17.069, 318.67 W, 100 %
2025/12/19 10:31:18.069, 322.25 W, 100 %
2025/12/19 10:31:19.069, 320.04 W, 100 %
2025/12/19 10:31:20.070, 318.70 W, 100 %
2025/12/19 10:31:21.070, 319.58 W, 100 %
2025/12/19 10:31:22.070, 318.32 W, 100 %
2025/12/19 10:31:23.070, 319.32 W, 100 %
2025/12/19 10:31:24.070, 319.08 W, 100 %
2025/12/19 10:31:25.070, 319.60 W, 100 %
2025/12/19 10:31:26.071, 318.90 W, 100 %
2025/12/19 10:31:27.071, 318.32 W, 100 %
2025/12/19 10:31:28.071, 318.11 W, 100 %
2025/12/19 10:31:29.071, 318.92 W, 100 %
2025/12/19 10:31:30.071, 319.50 W, 100 %
2025/12/19 10:31:31.071, 319.47 W, 100 %
2025/12/19 10:31:32.072, 317.36 W, 100 %
2025/12/19 10:31:33.072, 317.79 W, 100 %
2025/12/19 10:31:34.072, 319.24 W, 100 %
2025/12/19 10:31:35.072, 317.69 W, 100 %
2025/12/19 10:31:36.072, 319.36 W, 100 %
2025/12/19 10:31:37.072, 318.71 W, 100 %
2025/12/19 10:31:38.072, 316.27 W, 100 %
2025/12/19 10:31:39.072, 318.38 W, 100 %
2025/12/19 10:31:40.073, 317.73 W, 100 %
2025/12/19 10:31:41.073, 318.71 W, 100 %
2025/12/19 10:31:42.073, 319.37 W, 100 %
2025/12/19 10:31:43.073, 318.42 W, 100 %
2025/12/19 10:31:44.073, 319.98 W, 100 %
2025/12/19 10:31:45.073, 319.11 W, 100 %
2025/12/19 10:31:46.074, 317.44 W, 100 %
2025/12/19 10:31:47.074, 320.36 W, 100 %
2025/12/19 10:31:48.074, 318.95 W, 100 %
2025/12/19 10:31:49.074, 319.23 W, 100 %
2025/12/19 10:31:50.074, 320.59 W, 100 %
2025/12/19 10:31:51.074, 319.62 W, 100 %
2025/12/19 10:31:52.075, 319.23 W, 100 %
2025/12/19 10:31:53.075, 320.09 W, 100 %
2025/12/19 10:31:54.075, 318.10 W, 100 %
2025/12/19 10:31:55.075, 319.04 W, 100 %
2025/12/19 10:31:56.075, 320.70 W, 100 %
2025/12/19 10:31:57.075, 319.01 W, 100 %
2025/12/19 10:31:58.075, 319.85 W, 100 %
2025/12/19 10:31:59.076, 321.09 W, 100 %
2025/12/19 10:32:00.076, 319.32 W, 100 %
2025/12/19 10:32:01.076, 318.96 W, 100 %
2025/12/19 10:32:02.076, 320.96 W, 100 %
2025/12/19 10:32:03.076, 319.48 W, 100 %
2025/12/19 10:32:04.076, 318.95 W, 100 %
2025/12/19 10:32:05.077, 318.36 W, 100 %
2025/12/19 10:32:06.077, 319.66 W, 100 %
2025/12/19 10:32:07.077, 319.21 W, 100 %
2025/12/19 10:32:08.077, 318.91 W, 100 %
2025/12/19 10:32:09.077, 319.66 W, 100 %
2025/12/19 10:32:10.077, 319.41 W, 100 %
2025/12/19 10:32:11.078, 318.74 W, 100 %
2025/12/19 10:32:12.078, 319.78 W, 100 %
2025/12/19 10:32:13.078, 317.92 W, 100 %
2025/12/19 10:32:14.078, 319.23 W, 100 %
2025/12/19 10:32:15.078, 319.81 W, 100 %
2025/12/19 10:32:16.078, 318.48 W, 100 %
2025/12/19 10:32:17.079, 319.26 W, 100 %
2025/12/19 10:32:18.079, 319.77 W, 100 %
2025/12/19 10:32:19.079, 318.31 W, 100 %
2025/12/19 10:32:20.079, 319.11 W, 100 %
2025/12/19 10:32:21.079, 319.07 W, 100 %
2025/12/19 10:32:22.079, 318.42 W, 100 %
2025/12/19 10:32:23.079, 319.01 W, 100 %
2025/12/19 10:32:24.080, 319.62 W, 100 %
2025/12/19 10:32:25.080, 318.90 W, 100 %
