         Time         	W	
 03/01/2011 06:42:21	-65,6620	
 03/01/2011 06:42:22	-65,1470	
 03/01/2011 06:42:23	-64,4640	
 03/01/2011 06:42:24	-62,5660	
 03/01/2011 06:42:25	-62,8540	
 03/01/2011 06:42:26	-63,8090	
 03/01/2011 06:42:27	-62,5770	
 03/01/2011 06:42:28	-62,5590	
 03/01/2011 06:42:29	-61,8270	
 03/01/2011 06:42:30	-62,9710	
 03/01/2011 06:42:31	-64,2010	
 03/01/2011 06:42:32	-65,6060	
 03/01/2011 06:42:33	-65,9520	
 03/01/2011 06:42:34	-64,6500	
 03/01/2011 06:42:35	-63,6780	
 03/01/2011 06:42:36	-64,2190	
 03/01/2011 06:42:37	-64,5370	
 03/01/2011 06:42:38	-64,5450	
 03/01/2011 06:42:39	-65,2180	
 03/01/2011 06:42:40	-64,5900	
 03/01/2011 06:42:41	-64,4880	
 03/01/2011 06:42:42	-64,8820	
 03/01/2011 06:42:43	-64,3160	
 03/01/2011 06:42:44	-64,0780	
 03/01/2011 06:42:45	-65,3760	
 03/01/2011 06:42:46	-67,1360	
 03/01/2011 06:42:47	-68,3130	
 03/01/2011 06:42:48	-69,6370	
 03/01/2011 06:42:49	-68,5100	
 03/01/2011 06:42:50	-67,1210	
 03/01/2011 06:42:51	-66,1200	
 03/01/2011 06:42:52	-65,3910	
 03/01/2011 06:42:53	-63,9080	
 03/01/2011 06:42:54	-63,7410	
 03/01/2011 06:42:55	-65,2170	
 03/01/2011 06:42:56	-63,9680	
 03/01/2011 06:42:57	-64,4080	
 03/01/2011 06:42:58	-65,2340	
 03/01/2011 06:42:59	-64,4820	
 03/01/2011 06:43:00	-64,6110	
 03/01/2011 06:43:01	-64,3000	
 03/01/2011 06:43:02	-63,1690	
 03/01/2011 06:43:03	-64,1100	
 03/01/2011 06:43:04	-65,3290	
 03/01/2011 06:43:05	-66,9980	
 03/01/2011 06:43:06	-67,7510	
 03/01/2011 06:43:07	-65,6320	
 03/01/2011 06:43:08	-66,4940	
 03/01/2011 06:43:09	-65,5780	
 03/01/2011 06:43:10	-65,2500	
 03/01/2011 06:43:11	-65,1960	
 03/01/2011 06:43:12	-63,1340	
 03/01/2011 06:43:13	-62,6900	
 03/01/2011 06:43:14	-61,7130	
 03/01/2011 06:43:15	-62,4570	
 03/01/2011 06:43:16	-62,9770	
 03/01/2011 06:43:17	-64,2570	
 03/01/2011 06:43:18	-63,4870	
 03/01/2011 06:43:19	-65,2810	
 03/01/2011 06:43:20	-64,6980	
 03/01/2011 06:43:21	-65,1120	
 03/01/2011 06:43:22	-65,1160	
 03/01/2011 06:43:23	-63,3420	
 03/01/2011 06:43:24	-67,7620	
 03/01/2011 06:43:25	-68,3880	
 03/01/2011 06:43:26	-69,2440	
 03/01/2011 06:43:27	-68,7010	
 03/01/2011 06:43:28	-65,0510	
 03/01/2011 06:43:29	-63,4720	
 03/01/2011 06:43:30	-63,2890	
 03/01/2011 06:43:31	-63,4510	
 03/01/2011 06:43:32	-63,7010	
 03/01/2011 06:43:33	-63,2900	
 03/01/2011 06:43:34	-64,1450	
 03/01/2011 06:43:35	-65,5080	
 03/01/2011 06:43:36	-64,1060	
 03/01/2011 06:43:37	-63,4320	
 03/01/2011 06:43:38	-62,8200	
 03/01/2011 06:43:39	-62,1830	
 03/01/2011 06:43:40	-62,3140	
