         Time         	W	
 09/11/2010 00:40:44	-405,940	
 09/11/2010 00:40:45	-406,050	
 09/11/2010 00:40:46	-405,190	
 09/11/2010 00:40:47	-406,540	
 09/11/2010 00:40:48	-406,310	
 09/11/2010 00:40:49	-406,460	
 09/11/2010 00:40:50	-407,570	
 09/11/2010 00:40:51	-407,240	
 09/11/2010 00:40:52	-407,360	
 09/11/2010 00:40:53	-407,460	
 09/11/2010 00:40:54	-407,260	
 09/11/2010 00:40:55	-407,170	
 09/11/2010 00:40:56	-407,040	
 09/11/2010 00:40:57	-407,260	
 09/11/2010 00:40:58	-407,750	
 09/11/2010 00:40:59	-407,970	
 09/11/2010 00:41:00	-408,430	
 09/11/2010 00:41:01	-408,640	
 09/11/2010 00:41:02	-408,720	
 09/11/2010 00:41:03	-408,600	
 09/11/2010 00:41:04	-408,220	
 09/11/2010 00:41:05	-407,830	
 09/11/2010 00:41:06	-407,940	
 09/11/2010 00:41:07	-408,230	
 09/11/2010 00:41:08	-408,160	
 09/11/2010 00:41:09	-408,060	
 09/11/2010 00:41:10	-407,600	
 09/11/2010 00:41:11	-407,030	
 09/11/2010 00:41:12	-406,700	
 09/11/2010 00:41:13	-407,000	
 09/11/2010 00:41:14	-406,980	
 09/11/2010 00:41:15	-406,790	
 09/11/2010 00:41:16	-407,230	
 09/11/2010 00:41:17	-407,000	
 09/11/2010 00:41:18	-406,760	
 09/11/2010 00:41:19	-407,430	
 09/11/2010 00:41:20	-407,270	
 09/11/2010 00:41:21	-406,740	
 09/11/2010 00:41:22	-407,210	
 09/11/2010 00:41:23	-407,220	
 09/11/2010 00:41:24	-406,560	
 09/11/2010 00:41:25	-407,350	
 09/11/2010 00:41:26	-407,310	
 09/11/2010 00:41:27	-406,710	
 09/11/2010 00:41:28	-408,160	
 09/11/2010 00:41:29	-408,300	
 09/11/2010 00:41:30	-407,840	
 09/11/2010 00:41:31	-409,440	
 09/11/2010 00:41:32	-408,930	
 09/11/2010 00:41:33	-408,510	
 09/11/2010 00:41:34	-409,470	
 09/11/2010 00:41:35	-408,520	
 09/11/2010 00:41:36	-408,330	
 09/11/2010 00:41:37	-408,520	
 09/11/2010 00:41:38	-408,230	
 09/11/2010 00:41:39	-408,090	
 09/11/2010 00:41:40	-408,330	
 09/11/2010 00:41:41	-408,740	
 09/11/2010 00:41:42	-408,030	
 09/11/2010 00:41:43	-409,510	
 09/11/2010 00:41:44	-408,470	
 09/11/2010 00:41:45	-408,280	
 09/11/2010 00:41:46	-408,850	
 09/11/2010 00:41:47	-408,530	
 09/11/2010 00:41:48	-408,790	
 09/11/2010 00:41:49	-408,850	
 09/11/2010 00:41:50	-408,580	
 09/11/2010 00:41:51	-408,330	
 09/11/2010 00:41:52	-407,790	
 09/11/2010 00:41:53	-407,890	
 09/11/2010 00:41:54	-407,920	
 09/11/2010 00:41:55	-407,810	
 09/11/2010 00:41:56	-407,820	
 09/11/2010 00:41:57	-407,770	
 09/11/2010 00:41:58	-407,830	
 09/11/2010 00:41:59	-407,950	
 09/11/2010 00:42:00	-407,980	
 09/11/2010 00:42:01	-407,280	
 09/11/2010 00:42:02	-407,570	
 09/11/2010 00:42:03	-407,770	
 09/11/2010 00:42:04	-408,030	
 09/11/2010 00:42:05	-408,800	
 09/11/2010 00:42:06	-408,690	
 09/11/2010 00:42:07	-408,340	
 09/11/2010 00:42:08	-408,430	
 09/11/2010 00:42:09	-408,610	
 09/11/2010 00:42:10	-408,600	
 09/11/2010 00:42:11	-408,540	
 09/11/2010 00:42:12	-408,150	
 09/11/2010 00:42:13	-407,840	
 09/11/2010 00:42:14	-407,820	
 09/11/2010 00:42:15	-408,040	
 09/11/2010 00:42:16	-408,030	
 09/11/2010 00:42:17	-407,490	
 09/11/2010 00:42:18	-407,030	
 09/11/2010 00:42:19	-406,930	
 09/11/2010 00:42:20	-406,200	
 09/11/2010 00:42:21	-406,820	
 09/11/2010 00:42:22	-406,470	
 09/11/2010 00:42:23	-405,690	
 09/11/2010 00:42:24	-407,280	
 09/11/2010 00:42:25	-406,880	
 09/11/2010 00:42:26	-407,060	
 09/11/2010 00:42:27	-407,420	
 09/11/2010 00:42:28	-406,540	
 09/11/2010 00:42:29	-405,940	
 09/11/2010 00:42:30	-405,290	
 09/11/2010 00:42:31	-405,400	
 09/11/2010 00:42:32	-405,620	
 09/11/2010 00:42:33	-406,050	
 09/11/2010 00:42:34	-406,270	
 09/11/2010 00:42:35	-406,790	
 09/11/2010 00:42:36	-406,940	
 09/11/2010 00:42:37	-407,380	
 09/11/2010 00:42:38	-409,060	
 09/11/2010 00:42:39	-409,370	
 09/11/2010 00:42:40	-409,250	
 09/11/2010 00:42:41	-409,080	
 09/11/2010 00:42:42	-407,730	
 09/11/2010 00:42:43	-407,020	
 09/11/2010 00:42:44	-406,150	
 09/11/2010 00:42:45	-405,170	
 09/11/2010 00:42:46	-404,950	
 09/11/2010 00:42:47	-405,440	
 09/11/2010 00:42:48	-406,380	
 09/11/2010 00:42:49	-407,500	
 09/11/2010 00:42:50	-407,990	
 09/11/2010 00:42:51	-408,040	
 09/11/2010 00:42:52	-408,160	
 09/11/2010 00:42:53	-408,320	
 09/11/2010 00:42:54	-408,590	
 09/11/2010 00:42:55	-408,410	
 09/11/2010 00:42:56	-408,450	
 09/11/2010 00:42:57	-408,950	
 09/11/2010 00:42:58	-409,310	
 09/11/2010 00:42:59	-409,790	
 09/11/2010 00:43:00	-410,060	
 09/11/2010 00:43:01	-409,780	
 09/11/2010 00:43:02	-409,380	
 09/11/2010 00:43:03	-408,990	
 09/11/2010 00:43:04	-408,130	
 09/11/2010 00:43:05	-408,420	
 09/11/2010 00:43:06	-407,890	
 09/11/2010 00:43:07	-406,580	
