timestamp, power.draw [W], utilization.gpu [%]
2025/12/05 13:45:49.241, 12.18 W, 0 %
2025/12/05 13:45:50.241, 12.13 W, 0 %
2025/12/05 13:45:51.241, 12.12 W, 0 %
2025/12/05 13:45:52.241, 12.19 W, 0 %
2025/12/05 13:45:53.242, 12.15 W, 0 %
2025/12/05 13:45:54.242, 12.15 W, 0 %
2025/12/05 13:45:55.242, 12.14 W, 0 %
2025/12/05 13:45:56.242, 12.10 W, 0 %
2025/12/05 13:45:57.242, 12.12 W, 0 %
2025/12/05 13:45:58.243, 12.16 W, 0 %
2025/12/05 13:45:59.243, 12.28 W, 0 %
2025/12/05 13:46:00.243, 12.13 W, 0 %
2025/12/05 13:46:01.243, 12.26 W, 0 %
2025/12/05 13:46:02.243, 12.11 W, 0 %
2025/12/05 13:46:03.243, 12.11 W, 0 %
2025/12/05 13:46:04.243, 12.15 W, 0 %
2025/12/05 13:46:05.244, 12.15 W, 0 %
2025/12/05 13:46:06.244, 12.18 W, 0 %
2025/12/05 13:46:07.244, 12.05 W, 0 %
2025/12/05 13:46:08.244, 12.06 W, 0 %
2025/12/05 13:46:09.244, 12.10 W, 0 %
2025/12/05 13:46:10.245, 12.05 W, 0 %
2025/12/05 13:46:11.245, 11.98 W, 0 %
2025/12/05 13:46:12.245, 11.98 W, 0 %
2025/12/05 13:46:13.245, 12.10 W, 0 %
2025/12/05 13:46:14.245, 12.19 W, 0 %
2025/12/05 13:46:15.245, 12.06 W, 0 %
2025/12/05 13:46:16.245, 12.05 W, 0 %
2025/12/05 13:46:17.246, 12.07 W, 0 %
2025/12/05 13:46:18.246, 12.15 W, 0 %
2025/12/05 13:46:19.246, 12.20 W, 0 %
2025/12/05 13:46:20.246, 12.14 W, 0 %
2025/12/05 13:46:21.246, 12.21 W, 0 %
2025/12/05 13:46:22.246, 12.03 W, 0 %
2025/12/05 13:46:23.247, 12.04 W, 0 %
2025/12/05 13:46:24.247, 12.03 W, 0 %
2025/12/05 13:46:25.247, 12.06 W, 0 %
2025/12/05 13:46:26.247, 12.07 W, 0 %
2025/12/05 13:46:27.247, 12.11 W, 0 %
2025/12/05 13:46:28.248, 12.20 W, 0 %
2025/12/05 13:46:29.248, 12.14 W, 0 %
2025/12/05 13:46:30.248, 12.04 W, 0 %
2025/12/05 13:46:31.248, 11.99 W, 0 %
2025/12/05 13:46:32.248, 11.90 W, 0 %
2025/12/05 13:46:33.248, 11.79 W, 0 %
2025/12/05 13:46:34.249, 11.84 W, 0 %
2025/12/05 13:46:35.249, 12.10 W, 0 %
2025/12/05 13:46:36.249, 12.08 W, 0 %
2025/12/05 13:46:37.249, 12.01 W, 0 %
2025/12/05 13:46:38.249, 12.01 W, 0 %
2025/12/05 13:46:39.249, 12.06 W, 0 %
2025/12/05 13:46:40.250, 12.11 W, 0 %
2025/12/05 13:46:41.250, 12.31 W, 0 %
2025/12/05 13:46:42.250, 12.36 W, 0 %
2025/12/05 13:46:43.250, 12.19 W, 0 %
2025/12/05 13:46:44.250, 12.18 W, 0 %
2025/12/05 13:46:45.250, 12.20 W, 0 %
2025/12/05 13:46:46.250, 12.23 W, 0 %
2025/12/05 13:46:47.251, 12.17 W, 0 %
2025/12/05 13:46:48.251, 12.10 W, 0 %
2025/12/05 13:46:49.251, 12.39 W, 18 %
2025/12/05 13:46:50.251, 12.10 W, 4 %
2025/12/05 13:46:51.251, 12.08 W, 3 %
2025/12/05 13:46:52.251, 12.05 W, 2 %
2025/12/05 13:46:53.252, 12.17 W, 2 %
2025/12/05 13:46:54.252, 12.12 W, 2 %
2025/12/05 13:46:55.252, 12.18 W, 1 %
2025/12/05 13:46:56.252, 12.18 W, 1 %
2025/12/05 13:46:57.252, 12.19 W, 1 %
2025/12/05 13:46:58.252, 12.11 W, 1 %
2025/12/05 13:46:59.253, 12.03 W, 21 %
2025/12/05 13:47:00.253, 11.73 W, 2 %
2025/12/05 13:47:01.253, 11.84 W, 2 %
2025/12/05 13:47:02.253, 11.80 W, 3 %
2025/12/05 13:47:03.253, 11.90 W, 0 %
2025/12/05 13:47:04.253, 11.93 W, 0 %
2025/12/05 13:47:05.254, 11.72 W, 0 %
2025/12/05 13:47:06.254, 11.66 W, 0 %
2025/12/05 13:47:07.254, 11.64 W, 0 %
2025/12/05 13:47:08.254, 11.66 W, 0 %
2025/12/05 13:47:09.254, 11.62 W, 0 %
2025/12/05 13:47:10.254, 11.68 W, 0 %
2025/12/05 13:47:11.255, 11.73 W, 0 %
2025/12/05 13:47:12.255, 11.56 W, 0 %
2025/12/05 13:47:13.255, 11.59 W, 0 %
2025/12/05 13:47:14.255, 11.56 W, 0 %
2025/12/05 13:47:15.255, 11.48 W, 0 %
2025/12/05 13:47:16.255, 11.53 W, 0 %
2025/12/05 13:47:17.256, 11.69 W, 0 %
2025/12/05 13:47:18.256, 11.72 W, 0 %
2025/12/05 13:47:19.256, 11.51 W, 0 %
2025/12/05 13:47:20.256, 11.55 W, 0 %
2025/12/05 13:47:21.256, 11.53 W, 0 %
2025/12/05 13:47:22.256, 11.51 W, 0 %
2025/12/05 13:47:23.257, 11.55 W, 0 %
2025/12/05 13:47:24.257, 11.51 W, 0 %
2025/12/05 13:47:25.257, 11.74 W, 0 %
2025/12/05 13:47:26.257, 11.50 W, 0 %
2025/12/05 13:47:27.257, 11.51 W, 0 %
2025/12/05 13:47:28.257, 11.51 W, 0 %
2025/12/05 13:47:29.258, 11.53 W, 0 %
2025/12/05 13:47:30.258, 11.50 W, 0 %
2025/12/05 13:47:31.258, 11.63 W, 0 %
2025/12/05 13:47:32.258, 11.72 W, 0 %
2025/12/05 13:47:33.258, 11.64 W, 0 %
2025/12/05 13:47:34.258, 11.71 W, 0 %
2025/12/05 13:47:35.258, 11.73 W, 0 %
2025/12/05 13:47:36.259, 11.67 W, 0 %
2025/12/05 13:47:37.259, 11.70 W, 0 %
2025/12/05 13:47:38.259, 11.75 W, 0 %
2025/12/05 13:47:39.259, 11.82 W, 0 %
2025/12/05 13:47:40.259, 11.83 W, 0 %
2025/12/05 13:47:41.259, 11.73 W, 0 %
2025/12/05 13:47:42.259, 11.68 W, 0 %
2025/12/05 13:47:43.260, 11.70 W, 0 %
2025/12/05 13:47:44.260, 11.81 W, 0 %
2025/12/05 13:47:45.260, 11.81 W, 0 %
2025/12/05 13:47:46.260, 11.70 W, 0 %
2025/12/05 13:47:47.260, 11.78 W, 0 %
2025/12/05 13:47:48.261, 11.58 W, 0 %
2025/12/05 13:47:49.261, 11.59 W, 0 %
2025/12/05 13:47:50.261, 11.67 W, 0 %
2025/12/05 13:47:51.261, 11.76 W, 0 %
2025/12/05 13:47:52.261, 11.71 W, 0 %
2025/12/05 13:47:53.261, 11.61 W, 0 %
